NAME,WEB_NAME,POSITION_NAME,PHOTO,GAMEWEEK,DEADLINE_TIME,OPPONENT,TOTAL_POINTS,WAS_HOME,KICKOFF_TIME,TEAM_A_SCORE,TEAM_H_SCORE,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED,VALUE,TRANSFERS_BALANCE,SELECTED,TRANSFERS_IN,TRANSFERS_OUT
Abdoulaye Doucouré,A.Doucoure,MID,121599.jpg,Gameweek 4,2024-09-14 10:00 AM,Aston Villa,0,0,2024-09-14 04:30 PM,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-7655,30683,914,8569
Abdoulaye Doucouré,A.Doucoure,MID,121599.jpg,Gameweek 5,2024-09-21 10:00 AM,Leicester,2,0,2024-09-21 02:00 PM,1,1,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,2.8,3.0,1.8,1,0.02,0.01,0.03,0.66,53,-3364,27682,677,4041
Abdoulaye Doucouré,A.Doucoure,MID,121599.jpg,Gameweek 6,2024-09-28 10:00 AM,Crystal Palace,2,1,2024-09-28 02:00 PM,1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,10.4,13.0,0.0,2.3,1,0.00,0.02,0.02,0.95,52,-2326,25555,806,3132
Abdoulaye Doucouré,A.Doucoure,MID,121599.jpg,Gameweek 7,2024-10-05 10:00 AM,Newcastle,3,1,2024-10-05 04:30 PM,0,0,90,0,0,1,0,0,0,0,0,0,0,0,11,11.6,32.2,0.0,4.4,1,0.00,0.02,0.02,2.05,52,-1820,23863,729,2549
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 1,2024-08-16 05:30 PM,Spurs,8,1,2024-08-19 07:00 PM,1,1,90,0,1,0,1,0,0,0,0,0,0,3,37,45.0,32.5,2.0,8.0,1,0.00,0.60,0.60,1.23,55,0,29601,0,0
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 2,2024-08-24 10:00 AM,Fulham,2,0,2024-08-24 02:00 PM,1,2,90,0,0,0,2,0,0,0,0,0,0,0,11,13.4,4.8,20.0,3.8,1,0.06,0.00,0.06,1.78,55,28207,75093,33719,5512
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 3,2024-08-31 10:00 AM,Aston Villa,2,1,2024-08-31 02:00 PM,2,1,67,0,0,0,2,0,0,0,0,0,0,0,11,7.8,1.4,18.0,2.7,1,0.05,0.01,0.06,1.46,55,-5861,70066,12418,18279
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 4,2024-09-14 10:00 AM,Crystal Palace,1,0,2024-09-14 02:00 PM,2,2,18,0,0,0,1,0,0,0,0,0,0,0,1,1.2,0.3,2.0,0.4,0,0.01,0.00,0.01,1.17,55,-6696,65889,8317,15013
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 5,2024-09-21 10:00 AM,Everton,1,1,2024-09-21 02:00 PM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.08,55,-7608,58991,2586,10194
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 6,2024-09-28 10:00 AM,Arsenal,1,0,2024-09-28 02:00 PM,2,4,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.90,55,-12611,46630,672,13283
Abdul Fatawu,A.Fatawu,MID,531442.jpg,Gameweek 7,2024-10-05 10:00 AM,Bournemouth,1,1,2024-10-05 02:00 PM,0,1,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0.2,0,0.03,0.00,0.03,0.50,54,-6111,41153,1216,7327
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 1,2024-08-16 05:30 PM,Southampton,0,1,2024-08-17 02:00 PM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,69252,0,0
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 2,2024-08-24 10:00 AM,Bournemouth,0,0,2024-08-25 01:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-369,81253,7943,8312
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 3,2024-08-31 10:00 AM,Spurs,0,1,2024-09-01 12:30 PM,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,2571,89171,12523,9952
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 4,2024-09-14 10:00 AM,Wolves,0,0,2024-09-15 03:30 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,4994,98375,14889,9895
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 5,2024-09-21 10:00 AM,Fulham,0,0,2024-09-21 02:00 PM,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-49,99439,5315,5364
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 6,2024-09-28 10:00 AM,Man City,0,1,2024-09-28 11:30 AM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-914,99769,6533,7447
Alex Murphy,A.Murphy,DEF,545477.jpg,Gameweek 7,2024-10-05 10:00 AM,Everton,0,0,2024-10-05 04:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,222,101361,6341,6119
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 1,2024-08-16 05:30 PM,Leicester,0,0,2024-08-19 07:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,41050,0,0
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 2,2024-08-24 10:00 AM,Everton,0,1,2024-08-24 02:00 PM,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-352,50765,4520,4872
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 3,2024-08-31 10:00 AM,Newcastle,0,0,2024-09-01 12:30 PM,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-9782,42128,3841,13623
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 4,2024-09-14 10:00 AM,Arsenal,0,1,2024-09-15 01:00 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-8596,33734,0,8596
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 5,2024-09-21 10:00 AM,Brentford,0,1,2024-09-21 02:00 PM,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2783,31227,0,2783
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 6,2024-09-28 10:00 AM,Man Utd,0,0,2024-09-29 03:30 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2372,28917,0,2372
Ashley Phillips,A.Phillips,DEF,548308.jpg,Gameweek 7,2024-10-05 10:00 AM,Brighton,0,0,2024-10-06 03:30 PM,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1794,27152,0,1794
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 1,2024-08-16 05:30 PM,Nott'm Forest,0,0,2024-08-17 02:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,22340,0,0
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 2,2024-08-24 10:00 AM,Newcastle,0,1,2024-08-25 01:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2370,23692,1325,3695
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 3,2024-08-31 10:00 AM,Everton,0,0,2024-08-31 02:00 PM,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1676,23218,1806,3482
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 4,2024-09-14 10:00 AM,Chelsea,0,1,2024-09-14 07:00 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1854,22293,1370,3224
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 5,2024-09-21 10:00 AM,Liverpool,0,0,2024-09-21 02:00 PM,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1069,21374,445,1514
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 6,2024-09-28 10:00 AM,Southampton,0,1,2024-09-30 07:00 PM,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-738,20825,627,1365
Max Aarons,Aarons,DEF,232980.jpg,Gameweek 7,2024-10-05 10:00 AM,Leicester,0,0,2024-10-05 02:00 PM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-703,20216,444,1147
Adama Traoré,Adama,MID,159533.jpg,Gameweek 1,2024-08-16 05:30 PM,Man Utd,3,0,2024-08-16 07:00 PM,0,1,77,0,0,1,0,0,0,0,0,0,0,0,5,1.0,3.8,14.0,1.9,1,0.10,0.02,0.12,1.57,50,0,21783,0,0
Adama Traoré,Adama,MID,159533.jpg,Gameweek 2,2024-08-24 10:00 AM,Leicester,5,1,2024-08-24 02:00 PM,1,2,68,0,1,0,1,0,0,0,0,0,0,0,26,29.6,45.5,30.0,10.5,1,0.21,0.50,0.71,0.34,50,26185,69340,34446,8261
Adama Traoré,Adama,MID,159533.jpg,Gameweek 3,2024-08-31 10:00 AM,Ipswich,9,0,2024-08-31 02:00 PM,1,1,90,1,0,0,1,0,0,0,1,0,0,3,33,41.6,20.9,25.0,8.8,1,0.15,0.25,0.40,0.45,50,40121,118606,61954,21833
Adama Traoré,Adama,MID,159533.jpg,Gameweek 4,2024-09-14 10:00 AM,West Ham,2,1,2024-09-14 02:00 PM,1,1,90,0,0,0,1,0,0,0,0,0,0,0,12,14.6,24.7,34.0,7.3,1,0.56,0.02,0.58,0.76,50,198663,345857,269026,70363
Adama Traoré,Adama,MID,159533.jpg,Gameweek 5,2024-09-21 10:00 AM,Newcastle,4,1,2024-09-21 02:00 PM,1,3,73,0,1,0,1,0,0,0,1,0,0,0,24,29.4,42.7,25.0,9.7,1,0.10,0.63,0.73,1.24,50,26987,369926,60272,33285
Adama Traoré,Adama,MID,159533.jpg,Gameweek 6,2024-09-28 10:00 AM,Nott'm Forest,3,0,2024-09-28 02:00 PM,1,0,68,0,0,1,0,0,0,0,0,0,0,0,11,0.8,3.4,7.0,1.1,1,0.04,0.01,0.05,0.63,51,39142,412450,85562,46420
Adama Traoré,Adama,MID,159533.jpg,Gameweek 7,2024-10-05 10:00 AM,Man City,2,0,2024-10-05 02:00 PM,2,3,90,0,0,0,3,0,0,0,0,0,0,0,4,12.8,13.7,32.0,5.9,1,1.29,0.02,1.31,1.57,51,-26027,386483,33075,59102
Tyler Adams,Adams,MID,200785.jpg,Gameweek 1,2024-08-16 05:30 PM,Nott'm Forest,0,0,2024-08-17 02:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,792,0,0
Tyler Adams,Adams,MID,200785.jpg,Gameweek 2,2024-08-24 10:00 AM,Newcastle,0,1,2024-08-25 01:00 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-162,730,59,221
Tyler Adams,Adams,MID,200785.jpg,Gameweek 3,2024-08-31 10:00 AM,Everton,0,0,2024-08-31 02:00 PM,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-81,670,59,140
Tyler Adams,Adams,MID,200785.jpg,Gameweek 4,2024-09-14 10:00 AM,Chelsea,0,1,2024-09-14 07:00 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-51,637,74,125
Tyler Adams,Adams,MID,200785.jpg,Gameweek 5,2024-09-21 10:00 AM,Liverpool,0,0,2024-09-21 02:00 PM,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-17,627,41,58
Tyler Adams,Adams,MID,200785.jpg,Gameweek 6,2024-09-28 10:00 AM,Southampton,0,1,2024-09-30 07:00 PM,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-28,607,30,58
Tyler Adams,Adams,MID,200785.jpg,Gameweek 7,2024-10-05 10:00 AM,Leicester,0,0,2024-10-05 02:00 PM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-17,600,32,49
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 1,2024-08-16 05:30 PM,Everton,6,0,2024-08-17 02:00 PM,3,0,45,1,0,0,0,0,0,0,0,0,0,0,24,39.6,6.5,26.0,7.2,0,0.17,0.05,0.22,0.21,55,0,42304,0,0
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 2,2024-08-24 10:00 AM,Man Utd,4,1,2024-08-24 11:30 AM,1,2,1,0,1,0,0,0,0,0,0,0,0,0,14,15.2,10.8,9.0,3.5,0,0.09,0.56,0.65,0.10,55,20093,78578,28196,8103
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 3,2024-08-31 10:00 AM,Arsenal,1,0,2024-08-31 11:30 AM,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.1,0,0.00,0.01,0.01,0.00,55,11905,95769,33475,21570
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 4,2024-09-14 10:00 AM,Ipswich,1,1,2024-09-14 02:00 PM,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,2.2,1.6,4.0,0.8,0,0.03,0.01,0.04,0.14,55,4769,104017,27664,22895
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 5,2024-09-21 10:00 AM,Nott'm Forest,2,1,2024-09-22 01:00 PM,2,2,61,0,0,0,1,0,0,0,0,0,0,0,4,1.4,12.6,10.0,2.4,1,0.03,0.02,0.05,0.86,55,-9625,94940,6273,15898
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 6,2024-09-28 10:00 AM,Chelsea,0,0,2024-09-28 02:00 PM,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-14540,80778,3461,18001
Simon Adingra,Adingra,MID,535818.jpg,Gameweek 7,2024-10-05 10:00 AM,Spurs,0,1,2024-10-06 03:30 PM,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-21719,59222,642,22361
Asher Agbinone,Agbinone,MID,579075.jpg,Gameweek 3,2024-08-31 10:00 AM,Chelsea,0,0,2024-09-01 12:30 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,0,0,0
Asher Agbinone,Agbinone,MID,579075.jpg,Gameweek 4,2024-09-14 10:00 AM,Leicester,0,1,2024-09-14 02:00 PM,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,1861,2490,2267,406
Asher Agbinone,Agbinone,MID,579075.jpg,Gameweek 5,2024-09-21 10:00 AM,Man Utd,0,1,2024-09-21 04:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,647,3227,1009,362
Asher Agbinone,Agbinone,MID,579075.jpg,Gameweek 6,2024-09-28 10:00 AM,Everton,0,0,2024-09-28 02:00 PM,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,450,3807,997,547
Asher Agbinone,Agbinone,MID,579075.jpg,Gameweek 7,2024-10-05 10:00 AM,Liverpool,0,1,2024-10-05 11:30 AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,137,4039,687,550
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 1,2024-08-16 05:30 PM,Brentford,0,0,2024-08-18 01:00 PM,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,33112,0,0
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 2,2024-08-24 10:00 AM,West Ham,0,1,2024-08-24 02:00 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-992,35509,2798,3790
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 3,2024-08-31 10:00 AM,Chelsea,0,0,2024-09-01 12:30 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2788,33669,3380,6168
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 4,2024-09-14 10:00 AM,Leicester,0,1,2024-09-14 02:00 PM,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-9569,23881,0,9569
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 5,2024-09-21 10:00 AM,Man Utd,0,1,2024-09-21 04:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3173,21033,0,3173
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 6,2024-09-28 10:00 AM,Everton,0,0,2024-09-28 02:00 PM,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2758,18301,0,2758
Naouirou Ahamada,Ahamada,MID,466117.jpg,Gameweek 7,2024-10-05 10:00 AM,Liverpool,0,1,2024-10-05 11:30 AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1846,16491,0,1846
Ola Aina,Aina,DEF,159506.jpg,Gameweek 1,2024-08-16 05:30 PM,Bournemouth,1,1,2024-08-17 02:00 PM,1,1,53,0,0,0,0,0,0,0,0,0,0,0,4,5.2,2.1,1.0,0.8,1,0.02,0.02,0.04,0.55,45,0,112193,0,0
Ola Aina,Aina,DEF,159506.jpg,Gameweek 2,2024-08-24 10:00 AM,Southampton,9,0,2024-08-24 02:00 PM,1,0,90,0,0,1,0,0,0,0,0,0,0,3,37,20.4,13.5,2.0,3.6,1,0.00,0.09,0.09,0.14,45,-23855,90573,986,24841
Ola Aina,Aina,DEF,159506.jpg,Gameweek 3,2024-08-31 10:00 AM,Wolves,2,1,2024-08-31 02:00 PM,1,1,90,0,0,0,1,0,0,0,0,0,0,0,10,11.6,17.0,1.0,3.0,1,0.01,0.11,0.12,0.74,44,85318,196208,118711,33393
Ola Aina,Aina,DEF,159506.jpg,Gameweek 4,2024-09-14 10:00 AM,Liverpool,8,0,2024-09-14 02:00 PM,1,0,90,0,0,1,0,0,0,0,0,0,0,2,28,13.4,1.4,0.0,1.5,1,0.00,0.01,0.01,0.94,44,23990,219309,71745,47755
Ola Aina,Aina,DEF,159506.jpg,Gameweek 5,2024-09-21 10:00 AM,Brighton,0,0,2024-09-22 01:00 PM,2,2,90,0,0,0,2,0,0,0,1,0,0,0,-5,17.2,0.5,0.0,1.8,1,0.00,0.00,0.00,0.94,45,270347,512569,288860,18513
Ola Aina,Aina,DEF,159506.jpg,Gameweek 6,2024-09-28 10:00 AM,Fulham,2,1,2024-09-28 02:00 PM,1,0,90,0,0,0,1,0,0,0,0,0,0,0,10,26.2,17.0,0.0,4.3,1,0.00,0.31,0.31,1.33,45,126961,639123,226576,99615
Ola Aina,Aina,DEF,159506.jpg,Gameweek 7,2024-10-05 10:00 AM,Chelsea,2,0,2024-10-06 01:00 PM,1,1,90,0,0,0,1,0,0,0,0,0,0,0,16,19.8,16.2,4.0,4.0,1,0.01,0.09,0.10,2.27,45,-17062,619903,39405,56467
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 1,2024-08-16 05:30 PM,Crystal Palace,2,1,2024-08-18 01:00 PM,1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,7.8,1.3,33.0,4.2,1,0.28,0.00,0.28,1.17,45,0,32185,0,0
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 2,2024-08-24 10:00 AM,Liverpool,1,0,2024-08-25 03:30 PM,0,2,90,0,0,0,2,0,0,0,0,0,0,0,-2,11.8,11.6,2.0,2.5,1,0.00,0.01,0.01,2.65,45,-441,37758,2879,3320
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 3,2024-08-31 10:00 AM,Southampton,1,1,2024-08-31 02:00 PM,1,3,38,0,0,0,0,0,0,0,0,0,0,0,5,3.6,0.2,2.0,0.6,1,0.00,0.00,0.00,0.87,45,7852,50299,12820,4968
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 4,2024-09-14 10:00 AM,Man City,1,0,2024-09-14 02:00 PM,1,2,71,0,0,0,2,0,0,0,0,0,0,0,7,9.4,6.1,2.0,1.8,1,0.00,0.02,0.02,1.08,45,-11735,36830,895,12630
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 5,2024-09-21 10:00 AM,Spurs,0,0,2024-09-21 02:00 PM,1,3,78,0,0,0,2,0,0,0,1,0,0,0,0,4.4,10.9,0.0,1.5,1,0.00,0.01,0.01,3.01,45,-972,36902,1326,2298
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 6,2024-09-28 10:00 AM,West Ham,2,1,2024-09-28 02:00 PM,1,1,90,0,0,0,1,0,0,0,0,0,0,0,10,17.2,5.5,0.0,2.3,1,0.00,0.02,0.02,0.99,45,104,37583,3565,3461
Kristoffer Ajer,Ajer,DEF,191866.jpg,Gameweek 7,2024-10-05 10:00 AM,Wolves,0,1,2024-10-05 02:00 PM,3,5,90,0,0,0,2,0,0,0,1,0,0,0,-3,10.6,2.6,6.0,1.9,1,0.00,0.02,0.02,0.84,45,1845,40240,4316,2471
