WEB_NAME,PLAYER_ID,POS_ID,PHOTO,SEASON_NAME,ELEMENT_CODE,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
De Bruyne,345,3,61366.jpg,2017-18,61366,100,103,209,3073,8,18,19,22,0,0,0,2,0,0,25,872,1146.6,1744.2,797.0,368.9,0,0.00,0.00,0.00,0.00
Ederson M.,347,1,121160.jpg,2017-18,121160,55,57,158,3195,0,0,16,26,0,2,0,1,0,58,10,666,546.2,10.0,0.0,55.6,0,0.00,0.00,0.00,0.00
Foden,348,3,209244.jpg,2017-18,209244,50,47,8,45,0,1,0,1,0,0,0,0,0,0,0,31,29.2,32.1,10.0,7.1,0,0.00,0.00,0.00,0.00
Stones,362,2,97299.jpg,2017-18,97299,55,53,70,1301,0,0,9,11,0,0,0,0,0,0,5,334,283.4,26.3,120.0,43.2,0,0.00,0.00,0.00,0.00
Walker,363,2,58621.jpg,2017-18,58621,65,66,138,2784,0,6,15,22,1,0,0,2,1,0,8,691,542.4,511.4,117.0,117.1,0,0.00,0.00,0.00,0.00
Dawson,542,2,60232.jpg,2017-18,60232,50,48,87,2510,2,1,8,39,0,0,0,6,0,0,4,453,629.6,181.3,298.0,111.2,0,0.00,0.00,0.00,0.00
Mario Jr.,557,3,151086.jpg,2017-18,151086,50,48,58,1715,1,1,4,31,0,0,0,2,0,0,5,337,363.6,170.6,145.0,67.8,0,0.00,0.00,0.00,0.00
Hudson-Odoi,434,3,209046.jpg,2017-18,209046,45,45,2,27,0,0,0,1,0,0,0,0,0,0,0,11,8.8,1.7,27.0,3.8,0,0.00,0.00,0.00,0.00
Wood,447,4,60689.jpg,2017-18,60689,65,62,104,1621,10,1,10,11,0,0,0,1,0,0,20,314,442.0,203.5,692.0,133.8,0,0.00,0.00,0.00,0.00
Ward-Prowse,531,3,101178.jpg,2017-18,101178,55,49,84,1708,3,5,2,29,0,0,0,3,0,0,8,367,363.4,613.9,296.0,127.1,0,0.00,0.00,0.00,0.00
Ramsdale,14,1,225321.jpg,2017-18,225321,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Fraser,397,3,90105.jpg,2017-18,90105,55,51,97,2003,5,3,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413.0,155.0,0,0.00,0.00,0.00,0.00
Bednarek,455,2,171771.jpg,2017-18,171771,45,41,22,427,1,0,2,5,0,0,0,1,0,0,0,88,110.0,1.9,19.0,13.1,0,0.00,0.00,0.00,0.00
Lallana,463,3,39155.jpg,2017-18,39155,75,73,13,234,0,0,1,1,0,0,0,1,0,0,0,37,32.6,113.4,128.0,27.3,0,0.00,0.00,0.00,0.00
McCarthy,469,1,58376.jpg,2017-18,58376,45,44,52,1620,0,0,4,26,0,0,0,2,0,42,3,278,280.8,0.0,0.0,28.1,0,0.00,0.00,0.00,0.00
Stephens,472,2,88900.jpg,2017-18,88900,50,45,58,1980,2,0,5,33,0,0,0,6,1,0,2,360,506.6,68.3,224.0,79.9,0,0.00,0.00,0.00,0.00
Taylor,475,2,103914.jpg,2017-18,103914,45,42,23,949,0,0,2,12,0,0,0,3,0,0,0,132,184.2,86.8,4.0,27.5,0,0.00,0.00,0.00,0.00
Walker-Peters,476,2,158534.jpg,2017-18,158534,45,40,13,188,0,2,1,4,0,0,0,0,0,0,0,73,70.4,48.3,10.0,12.9,0,0.00,0.00,0.00,0.00
Solanke,82,4,154566.jpg,2017-18,154566,50,46,38,581,1,2,3,4,0,0,0,0,0,0,2,107,123.8,199.4,350.0,66.4,0,0.00,0.00,0.00,0.00
Davies,484,2,115556.jpg,2017-18,115556,55,58,143,2323,2,7,12,20,0,0,0,3,0,0,14,615,610.0,698.8,201.0,151.0,0,0.00,0.00,0.00,0.00
Forster,488,1,40383.jpg,2017-18,40383,50,46,73,1800,0,0,4,30,0,1,0,0,0,69,6,351,488.2,0.0,0.0,48.9,0,0.00,0.00,0.00,0.00
Højbjerg,490,3,132015.jpg,2017-18,132015,45,43,39,1666,0,0,3,30,0,0,0,6,0,0,0,261,266.6,258.4,148.0,67.6,0,0.00,0.00,0.00,0.00
Richarlison,497,4,212319.jpg,2017-18,212319,60,58,125,2817,5,8,8,54,0,0,0,4,0,0,4,304,497.0,384.7,1217.0,209.3,0,0.00,0.00,0.00,0.00
Son,503,3,85971.jpg,2017-18,85971,80,83,178,2292,12,8,14,18,0,0,0,0,0,0,16,544,725.8,588.2,1177.0,249.1,0,0.00,0.00,0.00,0.00
Whiteman,510,1,175941.jpg,2017-18,175941,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Wan-Bissaka,388,2,214590.jpg,2017-18,214590,45,45,15,627,0,0,2,10,0,0,0,1,0,0,0,116,207.2,60.0,2.0,26.8,0,0.00,0.00,0.00,0.00
Antonio,512,4,57531.jpg,2017-18,57531,75,74,62,1350,3,2,7,23,0,0,0,1,0,0,1,188,296.6,256.3,393.0,94.6,0,0.00,0.00,0.00,0.00
Cresswell,517,2,55459.jpg,2017-18,55459,50,49,118,3069,1,7,10,60,0,0,0,7,0,0,10,613,690.2,562.7,193.0,145.0,0,0.00,0.00,0.00,0.00
Emerson,520,2,109533.jpg,2017-18,109533,55,52,14,278,0,1,1,4,0,0,0,0,0,0,0,68,61.8,28.7,48.0,13.8,0,0.00,0.00,0.00,0.00
Fabianski,521,1,37096.jpg,2017-18,37096,45,47,157,3420,0,0,9,56,0,3,0,0,0,137,14,772,1087.8,10.0,0.0,109.9,0,0.00,0.00,0.00,0.00
Ings,523,4,84939.jpg,2017-18,84939,55,54,18,262,1,1,3,0,0,0,0,0,0,0,0,53,57.8,42.0,143.0,24.0,0,0.00,0.00,0.00,0.00
Mavropanos,528,2,233963.jpg,2017-18,233963,45,42,4,194,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2.0,5.5,0,0.00,0.00,0.00,0.00
Zouma,532,2,103192.jpg,2017-18,103192,55,54,87,2887,1,0,7,50,0,0,0,1,0,0,5,554,814.2,91.8,235.0,114.4,0,0.00,0.00,0.00,0.00
